Regime,Method,Rows_Tested,MAE,R2
Recovery,Random Forest,2000,0.02192915720104842,-0.005849918657571562
Recovery,XGBoost,2000,0.02207051838552635,-0.021439656044300204
Bull,Random Forest,2000,0.02481812946130618,0.008072277100854452
Bull,XGBoost,2000,0.024942770208659853,0.0025681771013614796
Bear,Random Forest,2000,0.032641914193691376,0.028344874767157746
Bear,XGBoost,2000,0.032967479268014736,0.016473464084452605
Crisis,Random Forest,2000,0.04464442672039715,0.09100806617667889
Crisis,XGBoost,2000,0.045313909316129296,0.061622463749108736
