,Bull,Bear,Crisis,Recovery
RSI_14,53.631911,49.872172,49.28678,55.946154
MACD_Histogram,0.020566,-0.046115,0.070003,-0.003261
Normalized_ATR,0.020672,0.026883,0.043375,0.017317
Volatility_20,0.014679,0.018551,0.031314,0.012138
Volume_Ratio,0.993702,1.031714,0.990996,1.008064
Bollinger_Width,0.101584,0.125425,0.195819,0.086038
Bollinger_Position,0.563997,0.489987,0.488297,0.596718
Daily_Return,0.00103,-0.000141,0.000518,0.00088
