Setting,Gamma,Delta,Regime,Rank,Feature,Lambda
gamma_1.0_delta_0.5,1.0,0.5,Bear,5,Bollinger_Width,1.977869
gamma_1.0_delta_0.5,1.0,0.5,Crisis,1,Normalized_ATR,1.817544
gamma_1.0_delta_0.5,1.0,0.5,Crisis,2,Close_to_EMA_10,2.054014
gamma_1.0_delta_0.5,1.0,0.5,Crisis,3,Daily_Return,2.170713
gamma_1.0_delta_0.5,1.0,0.5,Crisis,4,Close_to_SMA_10,2.408918
gamma_1.0_delta_0.5,1.0,0.5,Crisis,5,OBV_Change,2.445012
gamma_1.0_delta_1.0,1.0,1.0,Recovery,1,Normalized_ATR,0.210625
gamma_1.0_delta_1.0,1.0,1.0,Recovery,2,ATR_14,0.253235
gamma_1.0_delta_1.0,1.0,1.0,Recovery,3,OBV_Change,0.26282
gamma_1.0_delta_1.0,1.0,1.0,Recovery,4,RSI_14,0.298791
gamma_1.0_delta_1.0,1.0,1.0,Recovery,5,Momentum_10,0.344982
gamma_1.0_delta_1.0,1.0,1.0,Bull,1,Normalized_ATR,2.122536
gamma_1.0_delta_1.0,1.0,1.0,Bull,2,ATR_14,3.376096
gamma_1.0_delta_1.0,1.0,1.0,Bull,3,Close_to_EMA_20,4.243884
gamma_1.0_delta_1.0,1.0,1.0,Bull,4,Volume_Ratio,4.253587
gamma_1.0_delta_1.0,1.0,1.0,Bull,5,Close_to_SMA_10,4.474679
gamma_1.0_delta_1.0,1.0,1.0,Bear,1,ATR_14,2.022685
gamma_1.0_delta_1.0,1.0,1.0,Bear,2,Normalized_ATR,2.224691
gamma_1.0_delta_1.0,1.0,1.0,Bear,3,Volatility_20,2.298817
gamma_1.0_delta_1.0,1.0,1.0,Bear,4,Close_to_EMA_50,2.416831
gamma_1.0_delta_1.0,1.0,1.0,Bear,5,Bollinger_Width,2.523414
gamma_1.0_delta_1.0,1.0,1.0,Crisis,1,Normalized_ATR,1.866463
gamma_1.0_delta_1.0,1.0,1.0,Crisis,2,Close_to_EMA_10,2.383726
gamma_1.0_delta_1.0,1.0,1.0,Crisis,3,Daily_Return,2.662283
gamma_1.0_delta_1.0,1.0,1.0,Crisis,4,Close_to_SMA_10,3.278638
gamma_1.0_delta_1.0,1.0,1.0,Crisis,5,OBV_Change,3.377627
gamma_1.0_delta_2.0,1.0,2.0,Recovery,1,Normalized_ATR,0.258622
gamma_1.0_delta_2.0,1.0,2.0,Recovery,2,ATR_14,0.373847
gamma_1.0_delta_2.0,1.0,2.0,Recovery,3,OBV_Change,0.402682
gamma_1.0_delta_2.0,1.0,2.0,Recovery,4,RSI_14,0.520452
gamma_1.0_delta_2.0,1.0,2.0,Recovery,5,Momentum_10,0.693806
gamma_1.0_delta_2.0,1.0,2.0,Bull,1,Normalized_ATR,2.120415
gamma_1.0_delta_2.0,1.0,2.0,Bull,2,ATR_14,5.364639
gamma_1.0_delta_2.0,1.0,2.0,Bull,3,Close_to_EMA_20,8.476918
gamma_1.0_delta_2.0,1.0,2.0,Bull,4,Volume_Ratio,8.515724
gamma_1.0_delta_2.0,1.0,2.0,Bull,5,Close_to_SMA_10,9.423989
gamma_1.0_delta_2.0,1.0,2.0,Bear,1,ATR_14,2.639065
