Case,Samples_Per_Regime,Model,Regime,Feature
Strong,10000,Proposed Prior,Recovery,RSI_14
Strong,10000,Proposed Prior,Bull,Close_to_EMA_20
Strong,10000,Proposed Prior,Bull,MACD
Strong,10000,Proposed Prior,Bull,Volume_Ratio
Strong,10000,Proposed Prior,Bear,ATR_14
Strong,10000,Proposed Prior,Bear,Bollinger_Width
Strong,10000,Proposed Prior,Bear,Volatility_20
Strong,10000,Proposed Prior,Crisis,Daily_Return
Strong,10000,Proposed Prior,Crisis,MACD_Histogram
Strong,10000,Proposed Prior,Crisis,Normalized_ATR
