Model,RMSE,MAE,R2,Direction_Accuracy,Test_Rows,Rank
Regime-specific LASSO,0.024659,0.018547,0.013039,0.532402,8734,1
Adaptive LASSO,0.024891,0.018778,-0.005606,0.524387,8734,2
Regime-specific Bayesian LASSO,0.024892,0.018753,-0.005655,0.523815,8734,3
Classical LASSO,0.024908,0.018795,-0.006958,0.522556,8734,4
Standard Bayesian LASSO,0.024911,0.018796,-0.007181,0.520724,8734,5
Elastic Net,0.024913,0.018799,-0.007336,0.52267,8734,6
Proposed Prior - Full,0.024948,0.01879,-0.010185,0.52164,8734,7
