Model,RMSE,MAE,R2,Direction_Accuracy,Test_Rows
Classical LASSO,0.04114008027435658,0.02928534295956774,0.002968633894219974,0.5300384729209825,40548
Standard Bayesian LASSO,0.04123151378820404,0.02940020498438356,-0.0014680800900406243,0.5198036894544737,40548
Regime-Adaptive Bayesian LASSO,0.042248899548941954,0.030284195825806496,-0.05150018762877151,0.5144273453684522,40548
