Model,Feature,Posterior_Mean_Coefficient,Lower_95,Upper_95,Selected,Abs_Coefficient,Rank,Regime
Regime Bayesian LASSO - Recovery,Log_Return,-0.7813853072903376,-1.8453410521393074,0.1832739395904534,True,0.7813853072903376,1,Recovery
Regime Bayesian LASSO - Recovery,Daily_Return,0.7687309018177296,-0.20910236000718851,1.8396285303655842,True,0.7687309018177296,2,Recovery
Regime Bayesian LASSO - Recovery,Close_to_EMA_20,-0.5696200181394927,-1.0793778620729526,-0.028644979380267565,True,0.5696200181394927,3,Recovery
Regime Bayesian LASSO - Recovery,Close_to_EMA_10,0.3838204924325842,0.06997191450090663,0.75042538972511,True,0.3838204924325842,4,Recovery
Regime Bayesian LASSO - Recovery,Close_to_SMA_20,0.18963622120217538,-0.05940479389655265,0.46131961169917907,True,0.18963622120217538,5,Recovery
Regime Bayesian LASSO - Recovery,Close_to_SMA_50,0.1481471894233616,-0.05352056872908969,0.349213911120168,True,0.1481471894233616,6,Recovery
Regime Bayesian LASSO - Recovery,Close_to_SMA_10,-0.1058401369538549,-0.2745358408587441,0.05975817980040924,False,0.1058401369538549,7,Recovery
Regime Bayesian LASSO - Recovery,Momentum_10,0.08135947265636298,0.020231334356929247,0.15318993761989377,False,0.08135947265636298,8,Recovery
Regime Bayesian LASSO - Recovery,MACD_Histogram,-0.07938476387491353,-0.4208704194137295,0.2232218655838585,False,0.07938476387491353,9,Recovery
Regime Bayesian LASSO - Recovery,ATR_14,-0.06250248433284308,-0.08859732186071524,-0.0355673465317253,False,0.06250248433284308,10,Recovery
Regime Bayesian LASSO - Recovery,Bollinger_Width,0.04085432181946323,-0.010284953236853887,0.08399963705523085,False,0.04085432181946323,11,Recovery
Regime Bayesian LASSO - Recovery,MACD_Signal,0.040694007472037316,-1.2495680170970407,1.1000098465015409,False,0.040694007472037316,12,Recovery
Regime Bayesian LASSO - Recovery,RSI_14,-0.03731448208087517,-0.10122304435589335,0.027334955541267233,False,0.03731448208087517,13,Recovery
