Model,Regime,Rows_Used,Iterations,Burn_In,Thin,Saved_Samples,Min_ESS,Median_ESS,Max_MCSE,Mean_Abs_Lag1_Autocorr,Sigma_Squared_Mean,Sigma_Squared_SD,Sigma_Squared_ESS
Standard Bayesian LASSO,All,25000,1400,600,5,160,115.46110230578117,160.0,0.0488521909955951,0.08277150407276482,0.9830008193382206,0.008242782548358975,132.4275003676972
Regime Bayesian LASSO - Recovery,Recovery,7000,1400,600,5,160,65.8867146119118,136.6995418752588,0.05050200118081366,0.06460296137164738,0.9882454974886755,0.0156203763123637,132.83543921037304
Regime Bayesian LASSO - Bull,Bull,7000,1400,600,5,160,115.25565944696827,160.0,0.05414824467585418,0.06934622546260517,0.9841398619151545,0.016736656602882174,160.0
Regime Bayesian LASSO - Bear,Bear,7000,1400,600,5,160,107.62826508188456,160.0,0.05508316324676392,0.05931387314110562,0.9873747444532599,0.015088220656089142,160.0
Regime Bayesian LASSO - Crisis,Crisis,7000,1400,600,5,160,89.2759858569984,160.0,0.06871508276593469,0.04889835718593272,0.9446105874700151,0.01482799090220397,160.0
