Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.503225,1.837416,1.422211,2.869922
Bollinger_Position,0.893001,2.513808,3.02306,4.434004
Bollinger_Width,0.876644,2.607054,1.588526,2.342103
Close_to_EMA_10,0.761673,2.176773,3.644516,1.543932
Close_to_EMA_20,0.813867,2.060069,4.447683,2.120786
Close_to_EMA_50,0.650037,2.147532,1.554616,2.159879
Close_to_SMA_10,0.80405,2.115344,2.762011,1.810701
Close_to_SMA_20,0.660334,2.549496,2.445309,2.671631
Close_to_SMA_50,0.682324,2.518013,2.15568,2.161706
Daily_Return,0.756651,2.601443,2.675,1.63165
Log_Return,13.097163,3.965658,4.904276,4.661228
MACD,0.76218,3.141884,2.507821,2.011854
MACD_Histogram,1.126499,3.131144,2.73548,2.383058
MACD_Signal,0.788871,3.371892,1.805338,2.167712
Momentum_10,0.587352,4.145906,2.909931,12.42314
Normalized_ATR,0.458939,1.456893,1.49154,1.366186
OBV_Change,0.51266,2.414206,1.829929,1.837832
ROC_10,0.703461,2.769756,1.623061,3.663968
RSI_14,0.546618,3.485735,2.81119,3.120582
Volatility_20,0.618368,2.196373,1.516185,2.194669
Volume_Ratio,0.721422,2.062423,1.637662,2.035351
