Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.373847,5.364639,2.639065,38.329236
Bollinger_Position,3.707263,18.794874,53.874174,218.390546
Bollinger_Width,3.443014,21.742584,4.107433,17.000968
Close_to_EMA_10,1.962092,10.567292,113.802834,3.210423
Close_to_EMA_20,2.557755,8.476918,252.422986,11.429749
Close_to_EMA_50,1.040875,10.01082,3.767786,12.296096
Close_to_SMA_10,2.436568,9.423989,37.540055,6.073463
Close_to_SMA_20,1.108412,19.885126,23.063685,28.784299
Close_to_SMA_50,1.263599,18.920946,13.929352,12.337751
Daily_Return,1.910853,21.555997,33.028514,4.004589
Log_Return,171535.677833,116.40509,373.158382,266.717168
MACD,1.967318,45.863942,25.514063,9.256252
MACD_Histogram,9.387893,45.240061,36.11832,18.221676
MACD_Signal,2.257719,60.842252,6.852164,12.475445
Momentum_10,0.693806,139.055738,46.251372,13457.831213
Normalized_ATR,0.258622,2.120415,3.192514,1.968286
OBV_Change,0.402682,15.98852,7.233205,6.445743
ROC_10,1.427594,27.69982,4.476439,101.825384
RSI_14,0.520452,69.484555,40.286035,53.578685
Volatility_20,0.852381,10.953056,3.408805,13.107672
Volume_Ratio,1.579079,8.515724,4.639708,9.696313
