Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.043439,7.173051,3.135701,14.577758
Bollinger_Position,0.136791,13.426208,14.16772,34.797063
Bollinger_Width,0.131826,14.440733,3.911964,9.708732
Close_to_EMA_10,0.099516,10.067358,20.591414,4.218973
Close_to_EMA_20,0.113622,9.016804,30.667198,7.960567
Close_to_EMA_50,0.072482,9.7987,3.746733,8.256753
Close_to_SMA_10,0.110897,9.507165,11.826523,5.802884
Close_to_SMA_20,0.074797,13.810132,9.269877,12.632913
Close_to_SMA_50,0.079861,13.471162,7.204023,8.270727
Daily_Return,0.098208,14.378637,11.093131,4.711993
Log_Return,29.424489,33.41332,37.286897,38.454853
MACD,0.099648,20.973424,9.749884,7.163797
MACD_Histogram,0.217679,20.830286,11.600412,10.051244
MACD_Signal,0.10675,24.156627,5.0527,8.316751
Momentum_10,0.059177,36.519776,13.127195,273.157549
Normalized_ATR,0.03613,4.509663,3.448864,3.303466
OBV_Change,0.045083,12.383339,5.191287,5.978086
ROC_10,0.084886,16.299419,4.083908,23.760397
RSI_14,0.051253,25.815336,12.251433,17.235413
Volatility_20,0.065592,10.249468,3.563779,8.524884
Volume_Ratio,0.089276,9.03742,4.157717,7.33211
