Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.064128,11.398025,4.091255,67.839182
Bollinger_Position,0.635928,39.932686,83.519339,386.530955
Bollinger_Width,0.5906,46.195561,6.367616,30.090132
Close_to_EMA_10,0.336569,22.451885,176.424748,5.682149
Close_to_EMA_20,0.438746,18.010555,391.322957,20.229593
Close_to_EMA_50,0.178547,21.269572,5.841073,21.762946
Close_to_SMA_10,0.417958,20.022756,58.197098,10.749465
Close_to_SMA_20,0.190132,42.249098,35.754863,50.945533
Close_to_SMA_50,0.216752,40.200544,21.594211,21.836671
Daily_Return,0.32778,45.799129,51.203007,7.08775
Log_Return,29424.48877,247.321044,578.495025,472.064582
MACD,0.337465,97.445206,39.553603,16.382706
MACD_Histogram,1.610359,96.119671,55.99303,32.250671
MACD_Signal,0.387279,129.268997,10.622682,22.080378
Momentum_10,0.119012,295.44593,71.701963,23819.109602
Normalized_ATR,0.044363,4.505158,4.949248,3.483684
OBV_Change,0.069074,33.970141,11.213396,11.408365
ROC_10,0.244883,58.852654,6.939675,180.22146
RSI_14,0.089276,147.630938,62.4541,94.829289
Volatility_20,0.146214,23.271502,5.284558,23.199361
Volume_Ratio,0.270868,18.093004,7.192785,17.161572
