Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.035751,5.690377,2.745199,6.757652
Bollinger_Position,0.063443,7.785128,5.835209,10.440511
Bollinger_Width,0.062281,8.073906,3.066224,5.514824
Close_to_EMA_10,0.054113,6.74135,7.034764,3.635414
Close_to_EMA_20,0.057821,6.379923,8.585063,4.9937
Close_to_EMA_50,0.046182,6.650792,3.000771,5.085751
Close_to_SMA_10,0.057124,6.551106,5.331323,4.26356
Close_to_SMA_20,0.046913,7.895652,4.720015,6.290747
Close_to_SMA_50,0.048476,7.798151,4.160964,5.090053
Daily_Return,0.053756,8.056529,5.163373,3.841959
Log_Return,0.930484,12.281429,9.466393,10.975543
MACD,0.054149,9.730245,4.840678,4.737204
MACD_Histogram,0.080032,9.696985,5.280112,5.61126
MACD_Signal,0.056045,10.442566,3.484722,5.104195
Momentum_10,0.041728,12.839649,5.616845,29.2521
Normalized_ATR,0.032605,4.511918,2.879018,3.216884
OBV_Change,0.036422,7.476666,3.532189,4.327445
ROC_10,0.049977,8.577785,3.132885,8.627348
RSI_14,0.038834,10.795133,5.426251,7.347867
Volatility_20,0.043932,6.802049,2.926589,5.167669
Volume_Ratio,0.051253,6.387212,3.161069,4.792531
