Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.61143,2.316169,1.62452,6.191061
Bollinger_Position,1.925426,4.335306,7.339903,14.778043
Bollinger_Width,1.855536,4.662894,2.02668,4.123223
Close_to_EMA_10,1.400747,3.250737,10.667841,1.791765
Close_to_EMA_20,1.599298,2.911515,15.887825,3.380791
Close_to_EMA_50,1.020233,3.163988,1.941079,3.506579
Close_to_SMA_10,1.560951,3.069852,6.126994,2.46444
Close_to_SMA_20,1.052811,4.459274,4.802467,5.3651
Close_to_SMA_50,1.124099,4.349821,3.732205,3.512513
Daily_Return,1.382336,4.642844,5.747044,2.001147
Log_Return,414.168659,10.789119,19.317308,16.331478
MACD,1.402611,6.772292,5.051145,3.042409
MACD_Histogram,3.063967,6.726073,6.009852,4.268685
MACD_Signal,1.502571,7.800144,2.617664,3.53206
Momentum_10,0.83295,11.79219,6.800836,116.007893
Normalized_ATR,0.508549,1.456165,1.786761,1.402956
OBV_Change,0.634572,3.998565,2.689462,2.538847
ROC_10,1.19482,5.263062,2.11576,10.090856
RSI_14,0.721424,8.33574,6.347128,7.319746
Volatility_20,0.923245,3.30954,1.846295,3.620452
Volume_Ratio,1.256614,2.918171,2.153998,3.11389
