Feature,Recovery,Bull,Bear,Crisis
ATR_14,0.20842,2.678255,1.770791,3.818083
Bollinger_Position,0.369853,3.664179,3.764003,5.898904
Bollinger_Width,0.363079,3.800096,1.977869,3.115884
Close_to_EMA_10,0.315461,3.17291,4.537776,2.054014
Close_to_EMA_20,0.337078,3.002799,5.537797,2.821448
Close_to_EMA_50,0.269225,3.130288,1.935648,2.873457
Close_to_SMA_10,0.333012,3.083369,3.438971,2.408918
Close_to_SMA_20,0.27349,3.716199,3.044647,3.554281
Close_to_SMA_50,0.282597,3.670308,2.684031,2.875887
Daily_Return,0.313381,3.791917,3.330635,2.170713
Log_Return,5.424434,5.780426,6.1063,6.201198
MACD,0.315671,4.579675,3.12248,2.676527
MACD_Histogram,0.46656,4.564021,3.405938,3.17037
MACD_Signal,0.326726,4.914939,2.247821,2.883878
Momentum_10,0.243263,6.043159,3.623147,16.527479
Normalized_ATR,0.190078,2.123597,1.857112,1.817544
OBV_Change,0.212328,3.518997,2.27844,2.445012
ROC_10,0.291351,4.037254,2.020868,4.874464
RSI_14,0.226392,5.080879,3.500205,4.151555
Volatility_20,0.256109,3.201479,1.887797,2.91974
Volume_Ratio,0.298791,3.00623,2.039048,2.707787
